
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:135            MCHIN-O9020:0          LISTENING       612
  TCP    0.0.0.0:445            MCHIN-O9020:0          LISTENING       4
  TCP    0.0.0.0:3389           MCHIN-O9020:0          LISTENING       1080
  TCP    0.0.0.0:5357           MCHIN-O9020:0          LISTENING       4
  TCP    0.0.0.0:23878          MCHIN-O9020:0          LISTENING       23804
  TCP    0.0.0.0:49152          MCHIN-O9020:0          LISTENING       780
  TCP    0.0.0.0:49153          MCHIN-O9020:0          LISTENING       1456
  TCP    0.0.0.0:49154          MCHIN-O9020:0          LISTENING       912
  TCP    0.0.0.0:49155          MCHIN-O9020:0          LISTENING       1596
  TCP    0.0.0.0:49160          MCHIN-O9020:0          LISTENING       900
  TCP    0.0.0.0:49161          MCHIN-O9020:0          LISTENING       3520
  TCP    0.0.0.0:49162          MCHIN-O9020:0          LISTENING       3520
  TCP    0.0.0.0:49176          MCHIN-O9020:0          LISTENING       4628
  TCP    0.0.0.0:57170          MCHIN-O9020:0          LISTENING       23804
  TCP    0.0.0.0:57171          MCHIN-O9020:0          LISTENING       31396
  TCP    127.0.0.1:5354         MCHIN-O9020:0          LISTENING       2728
  TCP    127.0.0.1:6942         MCHIN-O9020:0          LISTENING       31396
  TCP    127.0.0.1:8001         MCHIN-O9020:0          LISTENING       18868
  TCP    127.0.0.1:8001         MCHIN-O9020:62303      ESTABLISHED     18868
  TCP    127.0.0.1:49156        MCHIN-O9020:49157      ESTABLISHED     2636
  TCP    127.0.0.1:49157        MCHIN-O9020:49156      ESTABLISHED     2636
  TCP    127.0.0.1:49163        MCHIN-O9020:0          LISTENING       3388
  TCP    127.0.0.1:49338        MCHIN-O9020:62522      ESTABLISHED     7092
  TCP    127.0.0.1:57148        MCHIN-O9020:57149      ESTABLISHED     31396
  TCP    127.0.0.1:57149        MCHIN-O9020:57148      ESTABLISHED     31396
  TCP    127.0.0.1:57150        MCHIN-O9020:57151      ESTABLISHED     31396
  TCP    127.0.0.1:57151        MCHIN-O9020:57150      ESTABLISHED     31396
  TCP    127.0.0.1:57171        MCHIN-O9020:57773      ESTABLISHED     31396
  TCP    127.0.0.1:57221        MCHIN-O9020:57223      ESTABLISHED     31396
  TCP    127.0.0.1:57223        MCHIN-O9020:57221      ESTABLISHED     31396
  TCP    127.0.0.1:57224        MCHIN-O9020:0          LISTENING       31396
  TCP    127.0.0.1:57224        MCHIN-O9020:57742      ESTABLISHED     31396
  TCP    127.0.0.1:57386        MCHIN-O9020:57224      TIME_WAIT       0
  TCP    127.0.0.1:57648        MCHIN-O9020:57171      TIME_WAIT       0
  TCP    127.0.0.1:57659        MCHIN-O9020:57171      TIME_WAIT       0
  TCP    127.0.0.1:57692        MCHIN-O9020:57171      TIME_WAIT       0
  TCP    127.0.0.1:57695        MCHIN-O9020:57224      TIME_WAIT       0
  TCP    127.0.0.1:57715        MCHIN-O9020:57171      TIME_WAIT       0
  TCP    127.0.0.1:57739        MCHIN-O9020:57741      ESTABLISHED     13584
  TCP    127.0.0.1:57741        MCHIN-O9020:57739      ESTABLISHED     13584
  TCP    127.0.0.1:57742        MCHIN-O9020:57224      ESTABLISHED     13584
  TCP    127.0.0.1:57748        MCHIN-O9020:57171      TIME_WAIT       0
  TCP    127.0.0.1:57762        MCHIN-O9020:57171      TIME_WAIT       0
  TCP    127.0.0.1:57773        MCHIN-O9020:57171      ESTABLISHED     23804
  TCP    127.0.0.1:62246        MCHIN-O9020:62247      ESTABLISHED     5896
  TCP    127.0.0.1:62247        MCHIN-O9020:62246      ESTABLISHED     5896
  TCP    127.0.0.1:62303        MCHIN-O9020:8001       ESTABLISHED     5896
  TCP    127.0.0.1:62522        MCHIN-O9020:0          LISTENING       2088
  TCP    127.0.0.1:62522        MCHIN-O9020:49338      ESTABLISHED     2088
  TCP    127.0.0.1:63342        MCHIN-O9020:0          LISTENING       31396
  TCP    172.16.61.108:80       MCHIN-O9020:0          LISTENING       6428
  TCP    172.16.61.108:139      MCHIN-O9020:0          LISTENING       4
  TCP    172.16.61.108:443      MCHIN-O9020:0          LISTENING       6428
  TCP    172.16.61.108:49158    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49164    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49168    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49169    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49170    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49172    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49173    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49175    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49178    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49179    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49180    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49183    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49184    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49186    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49188    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49194    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49195    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49196    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49197    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49201    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49202    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49209    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49211    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49212    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49213    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49214    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49215    KBOX:https             CLOSE_WAIT      3212
